Waktu,Aktivitas,Valid,Q_Signal,RR_Status,Anomaly_Score,HR_Mean,Z_HR,RMSSD,Z_RMSSD,SDNN,Z_SDNN
2024-05-29T15:30:00.000Z,Duduk,No,,UNKNOWN,,78,,9.22,,7.81,
2024-05-29T15:50:00.000Z,Duduk,No,,UNKNOWN,,85,,20,,14.14,
2024-05-29T15:55:00.000Z,Duduk,Yes,,BASELINE_PAUSED,0.69,85.43,,27.09,1.6,48.13,3.61
2024-05-29T16:05:00.000Z,Duduk,No,,UNKNOWN,,81,,0,,0,
2024-05-29T16:15:00.000Z,Duduk,No,,UNKNOWN,,78.67,,67.65,,39.23,
2024-05-29T16:30:00.000Z,Duduk,Yes,,NORMAL,0.39,84.3,,30.75,2.52,48.52,3.67
2024-05-29T16:35:00.000Z,Duduk,Yes,,NORMAL,0.43,76.63,,43.07,4.42,51.98,2.69
2024-05-29T16:40:00.000Z,Duduk,No,,UNKNOWN,,76.25,,40.91,,24.96,
2024-05-29T16:55:00.000Z,Duduk,Yes,,NORMAL,0.2,78.28,,46.87,3.04,76.89,4.32
2024-05-29T17:05:00.000Z,Lainnya,No,,UNKNOWN,,79.5,,13,,9.19,
2024-05-29T17:20:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0.08,77.8,0,34.7,0,53.19,0
2024-05-29T17:30:00.000Z,Lainnya,No,,UNKNOWN,,72.33,,28.18,,26.1,
2024-05-29T17:50:00.000Z,Lainnya,No,,UNKNOWN,,73.67,,19.04,,17.39,
2024-05-29T18:00:00.000Z,Lainnya,No,,UNKNOWN,,75,,2,,1.15,
2024-05-29T18:20:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0.03,67.87,0,34.63,0,31.76,0
2024-05-29T18:35:00.000Z,Lainnya,Yes,,DEVIATION_CANDIDATE,3.28,74.13,,34.01,-8,59.92,1.15
2024-05-29T18:55:00.000Z,Lainnya,No,,UNKNOWN,,66,,21,,14.85,
2024-05-29T19:05:00.000Z,Lainnya,No,,UNKNOWN,,82.5,,51.8,,40.21,
2024-05-29T19:25:00.000Z,Lainnya,No,,UNKNOWN,,76.17,,27.1,,40.42,
2024-05-29T19:40:00.000Z,Lainnya,No,,UNKNOWN,,68.5,,57,,40.31,
2024-05-29T20:45:00.000Z,Lainnya,Yes,,DEVIATION_PAUSED,0.04,72.5,,43.16,8,42.23,-0.02
2024-05-29T20:55:00.000Z,Lainnya,Yes,,NORMAL,0.41,68.15,,40.15,8,55.36,0.85
2024-05-29T21:00:00.000Z,Lainnya,No,,UNKNOWN,,68.67,,42.86,,40.38,
2024-05-29T21:10:00.000Z,Lainnya,No,,UNKNOWN,,74,,52.27,,51.1,
2024-05-29T21:30:00.000Z,Lainnya,No,,UNKNOWN,,68,,33.55,,46.24,
2024-05-29T21:40:00.000Z,Lainnya,Yes,,NORMAL,0.64,90.73,,35.89,-0.19,34.85,-0.91
2024-05-29T21:45:00.000Z,Lainnya,No,,UNKNOWN,,90,,0,,0,
2024-05-29T21:55:00.000Z,Lainnya,No,,UNKNOWN,,83.67,,16.76,,16.26,
2024-05-29T22:00:00.000Z,Lainnya,Yes,,NORMAL,2.02,91.68,,24.6,-4.51,30.13,-1.12
2024-05-29T22:05:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0.07,87.46,0,26.91,0,48.46,0
2024-05-29T22:15:00.000Z,Duduk,No,,UNKNOWN,,84.33,,16.45,,10.5,
2024-05-29T22:25:00.000Z,Duduk,No,,UNKNOWN,,85,,17,,12.02,
2024-05-29T22:35:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0,91.5,0,31.59,0,35.1,0
2024-05-29T22:40:00.000Z,Duduk,No,,UNKNOWN,,84,,0,,0,
2024-05-29T22:50:00.000Z,Duduk,No,,UNKNOWN,,79.5,,20.05,,18.16,
2024-05-29T23:00:00.000Z,Duduk,Yes,,NORMAL,0.27,82.16,,32.85,0.52,32.83,-0.66
2024-05-29T23:10:00.000Z,Lainnya,No,,UNKNOWN,,79.5,,10,,7.07,
2024-05-29T23:25:00.000Z,Duduk,Yes,,NORMAL,0.43,82.85,,29.37,-0.17,38.01,-0.13
2024-05-29T23:30:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,0.18,90.21,,22.58,-0.32,32.3,-0.05
2024-05-29T23:35:00.000Z,Lainnya,Yes,,NORMAL,0.33,102.82,,24.79,0.08,35.95,0.26
2024-05-29T23:40:00.000Z,Lainnya,No,,UNKNOWN,,112,,0,,0,
2024-05-29T23:50:00.000Z,Lainnya,No,,UNKNOWN,,110,,11.57,,12.19,
